obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
1;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;160;;;;;;;;;;;;U;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;63,1;;;;253;;;;3;152;;;;3;160;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;485;361;1221,9;15,2;415,2;30,23
2;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;160;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;66,9;;;;259;;;;3;152;;;;3;160;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;485;361;1221,9;15,2;415,2;30,23
3;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;200;;;;;;;;;;;;U;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;69;;;;290;;;;3;152;;;;3;200;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;485;361;1221,9;15,2;415,2;30,23
4;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;200;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;72;;;;296;;;;3;152;;;;3;200;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;485;361;1221,9;15,2;415,2;30,23
5;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;220;;;;;;;;;;;;U;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;50,5;;;;225;;;;3;114;;;;3;220;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;409;361;1221,9;15,2;415,2;30,23
6;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;220;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;54,5;;;;234;;;;3;114;;;;3;220;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;409;361;1221,9;15,2;415,2;30,23
7;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;260;;;;;;;;;;;;U;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;49,6;;;;243;;;;3;114;;;;3;260;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;409;361;1221,9;15,2;415,2;30,23
8;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;260;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;55;;;;257;;;;3;114;;;;3;260;;228,67;1,32;7,75;15,12;34,52;41,95;23,55;409;361;1221,9;15,2;415,2;30,23
9;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;U;;;;;maize;maize-maize;377;;;263;;;406;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;43,5;;;;170;;;;3;63;;;;3;246;;141,33;1,07;7,75;9,97;45,68;22,9;31,42;485;361;1336,2;10,9;391,1;19,93
10;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;39,8;;;;161;;;;3;63;;;;3;246;;141,33;1,07;7,75;9,97;45,68;22,9;31,42;485;361;1336,2;10,9;391,1;19,93
