id,obs_no,no,studynr,country,x,y,year,n_fert_min,n_fert_man,n_place,n_source,n_time_splits,n_res,nue_value,nrep,sd_nue,n_dose,crop_type,depth,p_dose,k_dose,som,ph,clay,ntot,pre_mean,pre_sd,tmp_mean,tmp_sd,pot_eva,pet_sd,genzname,genz,gens,depntot,xcec,xclay,xntot,xph,xsand,xsilt,xsoc,xsom
1,1,1,1072,Spain,-3.32,40.32,2004,160,,broadcasted,inorganic,0,0,158.125,3,18.2435672348079,160,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,2,1,1072,Spain,-3.32,40.32,2004,160,,broadcasted,efficiency,0,0,161.875,3,21.8534340903903,160,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,3,1,1072,Spain,-3.32,40.32,2004,200,,broadcasted,inorganic,0,0,145,3,16.3478199599794,200,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,4,1,1072,Spain,-3.32,40.32,2004,200,,broadcasted,efficiency,0,0,148,3,18.2660252164232,200,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,5,1,1072,Spain,-3.32,40.32,2005,220,,broadcasted,inorganic,0,0,102.272727272727,3,11.9629353770002,220,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,6,1,1072,Spain,-3.32,40.32,2005,220,,broadcasted,efficiency,0,0,106.363636363636,3,11.5134032310902,220,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,7,1,1072,Spain,-3.32,40.32,2005,260,,broadcasted,inorganic,0,0,93.4615384615385,3,11.8640552221358,260,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
1,8,1,1072,Spain,-3.32,40.32,2005,260,,broadcasted,efficiency,0,0,98.8461538461539,3,9.80630216333321,260,maize,20,,,14,8.1,13.8,,414.575867398289,27.672798670667,14.8066094730092,6.83749947083141,1190.76008061482,1.95929537338722,K. Warm temperate and mesic,K,K4,10.7482641601562,231.833333333333,26.6666666666667,1.27,7.73333333333333,30.5333333333333,42.7333333333333,15.1666666666667,30.3333333333333
2,9,2,1153,USA,-104.98,40.65,2007,246,,broadcasted,inorganic,0,0,69.1056910569106,3,7.96151007603971,246,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,10,2,1153,USA,-104.98,40.65,2007,246,,broadcasted,efficiency,0,0,65.4471544715447,3,9.81508586455131,246,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,11,2,1153,USA,-104.98,40.65,2007,246,,broadcasted,inorganic,0,0,63.4146341463415,3,8.28024381976139,246,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,12,2,1153,USA,-104.98,40.65,2007,246,,broadcasted,efficiency,0,0,61.3821138211382,3,7.87131616234781,246,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,13,2,1153,USA,-104.98,40.65,2008,202,,broadcasted,inorganic,0,0,59.9009900990099,3,7.78925368223443,202,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,14,2,1153,USA,-104.98,40.65,2008,202,,broadcasted,efficiency,0,0,54.4554455445545,3,6.18179818415979,202,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
2,15,2,1153,USA,-104.98,40.65,2008,202,,broadcasted,inorganic,0,0,56.9306930693069,3,7.65872619090219,202,maize,15,,,25,7.6,33.3,,397.537937626757,26.678816067351,9.20977027273212,8.48968651119401,1254.94973658745,1.63781126450918,H. Cool temperate and dry,H,H7,5.23560241699219,177.666666666667,26.2,1.36333333333333,7.65,43.5833333333333,30.2166666666667,10.4666666666667,20.9333333333333
